2023-02-09 17:04:19
province,城市,现存确诊,累计确诊,死亡,治愈
吉林,松原,17,103,0,86
吉林,通化,0,314,1,313
吉林,白山,1,25,0,24
吉林,梅河口,0,1,0,1
福建,福州,167,646,1,478
福建,莆田,19,385,0,366
福建,漳州,30,359,0,329
福建,泉州,93,1508,0,1415
福建,三明,45,255,0,210
福建,厦门,265,1034,0,769
福建,南平,29,133,0,104
福建,龙岩,87,104,0,17
福建,宁德,1,140,0,139
江西,南昌,2,487,0,485
江西,赣州,0,76,1,75
江西,宜春,0,109,0,109
江西,九江,2,143,0,141
江西,抚州,3,82,0,79
江西,上饶,0,328,0,328
江西,新余,0,129,0,129
江西,吉安,0,44,0,44
江西,景德镇,0,9,0,9
江西,萍乡,0,39,0,39
江西,鹰潭,0,48,0,48
江苏,南京,58,861,0,803
江苏,无锡,58,208,0,150
江苏,徐州,22,182,0,160
江苏,常州,3,87,0,84
江苏,苏州,58,310,0,252
江苏,南通,44,85,0,41
江苏,连云港,58,403,0,345
江苏,淮安,25,108,0,83
江苏,盐城,58,184,0,126
江苏,扬州,2,596,0,594
江苏,镇江,17,41,0,24
江苏,泰州,26,73,0,47
江苏,宿迁,58,100,0,42
上海,浦东,74,17266,0,17192
上海,静安,28,3306,1,3277
上海,长宁,12,2425,0,2413
上海,奉贤,9,259,0,250
上海,徐汇,18,4736,1,4717
上海,闵行,24,5483,0,5459
上海,青浦,12,1349,0,1337
上海,虹口,9,3707,0,3698
上海,黄浦,3,6626,1,6622
上海,宝山,16,3176,1,3159
上海,嘉定,18,2668,2,2648
上海,金山,2,343,0,341
上海,松江,40,3042,0,3002
上海,杨浦,5,2417,0,2412
上海,普陀,15,1814,0,1799
上海,崇明,1,399,0,398
广西,南宁,1,71,0,70
广西,柳州,0,24,0,24
广西,桂林,34,69,0,35
广西,梧州,0,21,0,21
广西,北海,1,597,1,595
广西,防城港,0,149,0,149
广西,钦州,0,27,0,27
广西,贵港,2,12,0,10
广西,玉林,0,15,0,15
广西,百色,0,284,0,284
广西,河池,1,32,1,30
广西,贺州,1,5,0,4
广西,来宾,29,40,0,11
广西,崇左,4,37,0,33
海南,海口,439,581,0,142
海南,三亚,210,6933,1,6722
海南,儋州,71,543,1,471
海南,万宁,49,317,0,268
海南,琼海,41,61,1,19
海南,东方,70,477,1,406
海南,临高,39,235,0,196
海南,定安,42,48,1,5
海南,昌江,7,15,0,8
海南,澄迈,111,151,1,39
海南,陵水,158,367,0,209
海南,琼中,13,14,0,1
海南,乐东,40,486,0,446
海南,文昌,69,78,0,9
海南,保亭,5,8,0,3
海南,五指山,45,52,0,7
海南,屯昌,20,20,0,0
海南,白沙,15,15,0,0
陕西,西安,280,2844,3,2561
陕西,安康,247,281,0,34
陕西,铜川,41,68,0,27
陕西,咸阳,29,65,0,36
陕西,汉中,261,350,0,89
陕西,渭南,327,390,0,63
陕西,宝鸡,0,261,0,261
陕西,延安,43,78,0,35
陕西,商洛,0,99,0,99
陕西,榆林,265,319,0,54
河北,石家庄,58,1728,1,1669
河北,廊坊,16,335,0,319
河北,沧州,9,147,3,135
河北,邯郸,10,74,0,64
河北,保定,7,65,0,58
河北,邢台,9,147,1,137
河北,衡水,6,20,0,14
河北,承德,1,9,0,8
河北,唐山,0,96,1,95
河北,张家口,0,43,0,43
河北,秦皇岛,2,24,1,21
河北,辛集,0,72,0,72
河北,定州,6,14,0,8
黑龙江,哈尔滨,170,2632,4,2458
黑龙江,齐齐哈尔,76,364,1,287
黑龙江,牡丹江,78,187,0,109
黑龙江,佳木斯,43,252,0,209
黑龙江,大庆,4,161,1,156
黑龙江,鸡西,6,63,0,57
黑龙江,双鸭山,1,68,3,64
黑龙江,七台河,2,24,0,22
黑龙江,鹤岗,7,14,0,7
黑龙江,绥化,30,671,4,637
黑龙江,大兴安岭,33,44,0,11
黑龙江,黑河,9,352,0,343
黑龙江,伊春,0,2,0,2
辽宁,抚顺,43,59,0,16
辽宁,沈阳,241,917,0,676
辽宁,大连,41,706,0,665
辽宁,鞍山,23,42,0,19
辽宁,本溪,11,27,0,16
辽宁,丹东,5,101,0,96
辽宁,锦州,9,29,0,20
辽宁,营口,0,218,0,218
辽宁,阜新,26,36,0,10
辽宁,辽阳,2,14,0,12
辽宁,铁岭,156,186,0,30
辽宁,朝阳,22,49,1,26
辽宁,盘锦,67,81,0,14
辽宁,葫芦岛,2,229,1,226
云南,昆明,774,1066,0,292
云南,昭通,492,518,0,26
云南,西双版纳,71,123,1,51
云南,玉溪,16,30,1,13
云南,曲靖,41,56,0,15
云南,大理州,134,147,0,13
云南,保山,59,70,0,11
云南,红河州,146,185,0,39
云南,丽江,49,56,0,7
云南,德宏州,133,523,0,390
云南,普洱,25,37,0,12
云南,楚雄州,28,32,0,4
云南,文山州,15,28,0,13
云南,临沧,22,35,0,13
云南,怒江,1,1,0,0
云南,迪庆,99,99,0,0
天津,宝坻区,5,71,2,64
天津,河北区,5,127,0,122
天津,北辰区,4,45,0,41
天津,河东区,17,60,1,42
天津,和平区,0,16,0,16
天津,河西区,17,63,0,46
天津,宁河区,11,17,0,6
天津,南开区,5,51,0,46
天津,西青区,17,261,0,244
天津,东丽区,8,48,0,40
天津,红桥区,2,41,0,39
天津,滨海新区,17,124,0,107
天津,津南区,11,378,0,367
天津,武清区,1,152,0,151
天津,静海区,17,32,0,15
天津,蓟州区,1,1,0,0
山西,太原,97,753,0,656
山西,大同,523,1354,0,831
山西,阳泉,39,526,0,487
山西,长治,22,120,0,98
山西,晋城,203,331,0,128
山西,朔州,3,502,0,499
山西,晋中,0,147,0,147
山西,忻州,9,145,0,136
山西,运城,21,308,0,287
山西,临汾,77,314,0,237
山西,吕梁,22,399,0,377
甘肃,兰州,0,1049,2,1047
